t (s),αt,ln(αt-αinf)
149,10.9,2.681021529
215,10.15,2.628285233
262,10.1,2.624668592
364,10.05,2.621038824
439,9.65,2.591516385
537,8.5,2.501435952
627,9.3,2.564949357
720,9.2,2.557227311
820,8.05,2.463853241
940,7.15,2.38416508
1082,7.6,2.424802726
1201,7,2.370243741
1312,6.8,2.351375257
1471,6.5,2.32238772
1591,5.8,2.251291799
1715,5.65,2.235376343
1892,5.15,2.180417459
2046,5.15,2.180417459
2168,5.1,2.174751721
2280,4.65,2.122261539
2497,4.05,2.047692843
2674,3.6,1.987874348
2910,2.9,1.887069649
3154,2.4,1.808288771
3376,2.45,1.816452082
3550,2.05,1.749199855
3620,1.8,1.704748092
3747,1.4,1.62924054
3976,1.45,1.638996715
4213,1.35,1.619388243
4747,0.3,1.386294361
5262,0,1.30833282
5405,-0.45,1.178654996
5633,-0.5,1.16315081
