名称：;,
操作者：;,
装置;SPECORD 200 PLUS - 223E1892C,
回归模式;y=B*x,
校正模式;测量值M（x1）,
标准点：;5,
浓度单位;g/L,
纵坐标单位;A,
波长1;510.0,
a = ;0.0000,
b = ;0.1971,
c = ;0.0000,
曲线回归质量;0.9970,
,
浓度 [g/L],纵坐标[A]
0.67,0.141
1.05,0.2126
1.5,0.2905
1.93,0.3813
2.31,0.4516
,
,
---------------------,
 -- 2019/9/5 9:25:44 中国标准时间,
标准 1 - 改变浓度量: 0.6729 (0.00),
---------------------,
 -- 2019/9/5 9:25:50 中国标准时间,
标准 2 - 改变浓度量: 1.050 (0.00),
---------------------,
 -- 2019/9/5 9:25:53 中国标准时间,
标准 3 - 改变浓度量: 1.501 (0.00),
---------------------,
 -- 2019/9/5 9:25:59 中国标准时间,
标准 4 - 改变浓度量: 1.925 (0.00),
---------------------,
 -- 2019/9/5 9:26:03 中国标准时间,
标准 5 - 改变浓度量: 2.306 (0.00),
---------------------,
 -- 2019/9/5 9:34:05 中国标准时间,
增加横坐标的量: 标准 1, 测量 
---------------------,
 -- 2019/9/5 9:37:07 中国标准时间,
增加横坐标的量: 标准 2, 测量 
---------------------,
 -- 2019/9/5 9:40:03 中国标准时间,
增加横坐标的量: 标准 3, 测量 
---------------------,
 -- 2019/9/5 9:42:56 中国标准时间,
增加横坐标的量: 标准 4, 测量 
---------------------,
 -- 2019/9/5 9:44:46 中国标准时间,
增加横坐标的量: 标准 5, 测量 
